E,U,u,b_p,b_q,a_p,a_q
1773391918705,2497656696,2497656697,[],[],[2.027 2.028],[1893.9  1090.04]
1773391918805,2497656698,2497656698,[],[],[2.024],[1144.24]
1773391919306,2497656699,2497656699,[],[],[2.028],[1721.94]
1773391919405,2497656700,2497656700,[],[],[2.028],[1090.04]
1773391919906,2497656701,2497656701,[],[],[2.023],[7.44]
1773391920505,2497656702,2497656705,[2.017 2.016],[1987.05 2528.42],[2.026 2.027],[1288.55 1784.7 ]
1773391920605,2497656706,2497656706,[],[],[2.028],[1199.21]
1773391920905,2497656707,2497656707,[],[],[2.024],[1124.4]
1773391921005,2497656708,2497656709,[],[],[2.023 2.024],[  12.14 1204.1 ]
1773391921605,2497656710,2497656715,[2.022 2.02 ],[285.17 896.98],[2.023 2.024],[ 124.64 1256.38]
1773391921705,2497656716,2497656718,[2.021],[1035.64],[2.023],[127.36]
1773391921905,2497656719,2497656721,[2.022],[112.5],[2.023],[373.15]
1773391922005,2497656722,2497656738,[2.022 2.021 2.02 ],[   0.    522.53 1146.49],[2.023 2.027 2.031 2.032 2.042 2.043],[ 1120.61  1809.1  19675.35   799.9  22863.05  2569.18]
1773391922105,2497656739,2497656739,[],[],[2.027],[2088.7]
1773391922205,2497656740,2497656749,[2.022 2.021 2.02 ],[ 112.5   618.26 1054.47],[2.023 2.024 2.031 2.042],[  948.26  1141.26  8438.12 10322.35]
1773391922305,2497656750,2497656758,[2.022 2.021 2.02 ],[   0.    522.53 1164.63],[2.023 2.025],[1201.38 1376.25]
1773391922405,2497656759,2497656771,[2.021 2.013 2.012 2.003 2.002 1.984 1.983],"[3.959200e+02 1.191091e+04 1.734210e+04 7.194600e+02 1.296812e+04
 3.000000e+00 2.405051e+04]",[2.022 2.023 2.024],[  24.83 1166.89  914.54]
1773391922506,2497656772,2497656787,[2.021 2.012 2.002 1.983],[ 550.47 5929.71  317.2   115.5 ],[2.022 2.023 2.024 2.025 2.026 2.027],[   0.   1074.87 1137.76 1352.41 1490.62 2640.4 ]
1773391922605,2497656788,2497656788,[],[],[2.023],[1184.15]
1773391923105,2497656789,2497656790,[],[],[2.031 2.042],[19686.92 22801.86]
1773391923505,2497656791,2497656794,[2.013 2.003 1.984],[23220.82 13338.44 24053.21],[2.027],[2664.8]
1773391923605,2497656795,2497656795,[],[],[2.025],[1377.62]
1773391923905,2497656796,2497656822,"[2.021 2.02  2.019 2.017 2.016 2.013 2.012 2.01  2.009 2.007 2.006 2.005
 2.003 1.984]","[3.118300e+02 9.890000e+02 1.439620e+03 1.358930e+03 7.826500e+02
 8.451740e+03 7.652300e+02 4.476310e+03 1.919010e+03 5.422590e+03
 3.916326e+04 2.236084e+04 7.194600e+02 3.000000e+00]",[2.022 2.023 2.024 2.03  2.045],[ 188.   1276.17  914.54  972.9   199.61]
1773391924005,2497656823,2497656824,[2.018],[1065.1],[2.022],[212.83]
1773391924105,2497656825,2497656827,[],[],[2.022 2.026 2.027],[ 188.   1288.55 1809.1 ]
1773391924405,2497656828,2497656829,[],[],[2.025 2.03 ],[1352.41  795.58]
1773391924605,2497656830,2497656835,[2.012 2.002 1.983],[12146.97 12984.09 24056.03],[2.023 2.024 2.025],[1296.17 1107.45 1332.41]
1773391924705,2497656836,2497656838,[2.021 2.018],[ 309.11 1166.98],[2.027],[1784.7]
1773391924805,2497656839,2497656839,[2.02],[991.72],[],[]
1773391925305,2497656840,2497656841,[2.017 2.015],[1325.93 9018.92],[],[]
1773391926505,2497656842,2497656842,[],[],[2.023],[1291.47]
1773391927206,2497656843,2497656844,[],[],[2.023 2.024],[1271.47 1127.45]
1773391927605,2497656845,2497656845,[],[],[2.022],[192.7]
1773391927905,2497656846,2497656853,[2.021 2.02  2.019],[   6.71  797.89 1459.62],[2.022],[550.98]
1773391928005,2497656854,2497656863,[2.02],[554.45],[2.022 2.023 2.025 2.027],[ 749.64 1492.25 1356.77 1834.16]
1773391928105,2497656864,2497656867,[2.019],[1434.76],[2.022 2.025 2.026],[ 752.36 1381.9  1688.75]
1773391928205,2497656868,2497656870,[2.021 2.017],[ 119.21 1350.23],[2.025],[1356.77]
1773391928305,2497656871,2497656876,[2.02],[1016.31],[2.022 2.025 2.026 2.047],[ 578.53 1332.41 1288.55  199.61]
1773391928405,2497656877,2497656880,[2.021],[294.84],[2.022],[220.61]
1773391928805,2497656881,2497656882,[2.021],[119.21],[2.022],[387.4]
1773391930105,2497656883,2497656886,[1.986 1.984],[123.24  58.  ],[2.046],[399.27]
1773391930205,2497656887,2497656889,[2.019],[1454.35],[2.023 2.035],[ 1512.07 15877.66]
1773391931205,2497656890,2497656890,[1.976],[0.],[],[]
1773391931805,2497656891,2497656891,[1.972],[2029.21],[],[]
1773391932105,2497656892,2497656894,[2.021],[306.14],[2.022],[136.52]
1773391932205,2497656895,2497656897,[2.02],[1190.14],[2.022 2.048],[  133.8  30523.37]
1773391932305,2497656898,2497656898,[],[],[2.023],[1514.79]
1773391932405,2497656899,2497656899,[],[],[2.023],[1512.07]
1773391932505,2497656900,2497656900,[],[],[2.022],[136.52]
1773391932905,2497656901,2497656902,[],[],[2.025 2.029],[ 1356.7  36540.23]
1773391933105,2497656903,2497656903,[],[],[2.022],[131.82]
1773391933905,2497656904,2497656904,[2.02],[1209.67],[],[]
1773391934305,2497656905,2497656906,[],[],[2.022],[133.8]
1773391934405,2497656907,2497656907,[],[],[2.023],[1514.79]
1773391934905,2497656908,2497656910,[2.019 2.015 2.013],[1654.35 8985.92 8484.74],[],[]
1773391935005,2497656911,2497656912,[],[],[2.025 2.048],[1332.41  398.87]
1773391935405,2497656913,2497656915,[],[],[2.023 2.029 2.035],[ 1494.97 36356.75  1330.73]
1773391935705,2497656916,2497656916,[],[],[2.022],[80.2]
1773391935805,2497656917,2497656919,[2.02],[1206.95],[2.026 2.027],[1501.68 2701.86]
1773391935905,2497656920,2497656921,[2.021 2.02 ],[ 308.86 1406.95],[],[]
1773391938705,2497656922,2497656925,[2.01  2.007 2.006],[ 2730.54  1963.42 26830.76],[],[]
1773391938805,2497656926,2497656928,[],[],[2.026 2.027],[1288.55 2401.46]
1773391939005,2497656929,2497656929,[],[],[2.023],[1514.28]
1773391939405,2497656930,2497656931,[],[],[2.027],[2582.66]
1773391939505,2497656932,2497656932,[],[],[2.026],[1466.1]
1773391940005,2497656933,2497656933,[],[],[2.029],[36533.56]
1773391940105,2497656934,2497656937,[],[],[2.022 2.029 2.047],[   75.5  36356.75   199.61]
1773391940505,2497656938,2497656938,[],[],[2.023],[1494.97]
1773391941205,2497656939,2497656939,[],[],[2.022],[80.2]
1773391942005,2497656940,2497656940,[],[],[2.025],[1356.8]
1773391943305,2497656941,2497656941,[],[],[2.029],[36539.57]
1773391943505,2497656942,2497656942,[2.02],[1206.95],[],[]
1773391944205,2497656943,2497656943,[],[],[2.025],[1332.41]
1773391944305,2497656944,2497656944,[],[],[2.029],[36356.75]
1773391945705,2497656945,2497656945,[],[],[2.048],[30472.08]
1773391946705,2497656946,2497656946,[],[],[2.022],[75.5]
1773391946805,2497656947,2497656947,[],[],[2.022],[71.14]
1773391947205,2497656948,2497656948,[],[],[2.025],[1357.36]
1773391947805,2497656949,2497656949,[],[],[2.022],[75.84]
1773391947905,2497656950,2497656950,[],[],[2.03],[974.06]
1773391948906,2497656951,2497656951,[],[],[2.036],[14925.43]
1773391949205,2497656952,2497656952,[],[],[2.023],[1514.88]
1773391950105,2497656953,2497656954,[],[],[2.047],[199.61]
1773391950905,2497656955,2497656956,[],[],[2.03  2.036],[795.58 312.11]
1773391951205,2497656957,2497656959,[],[],[2.023 2.025 2.048],[1494.97 1332.41  398.87]
1773391951305,2497656960,2497656960,[2.017],[1374.96],[],[]
1773391952205,2497656961,2497656973,[2.021 2.02  2.017],[ 442.41 1231.68 1424.42],[2.022 2.023 2.024 2.025 2.027],[   4.7  1156.33 1244.   1356.69 2219.56]
1773391952305,2497656974,2497656979,[2.021 2.02  2.017],[ 467.14 1256.41 1473.88],[2.027],[2250.96]
1773391952405,2497656980,2497656980,[2.02],[1281.14],[],[]
1773391953005,2497656981,2497656981,[],[],[2.03],[974.02]
1773391953105,2497656982,2497656982,[2.011],[3078.04],[],[]
1773391953205,2497656983,2497656984,[2.019 2.018],[1758.97 1191.71],[],[]
1773391953305,2497656985,2497657013,[2.022 2.021 2.02  2.013 2.012 2.003 2.002 1.984 1.983],"[  137.22   860.99  1139.66 19792.27   765.23 13334.49   317.2  24076.47
   115.5 ]",[2.022 2.023 2.024 2.031 2.032 2.042 2.043],[    0.     828.42  1541.82  8438.12 12065.91 10322.35 15077.23]
1773391953405,2497657014,2497657024,[2.022 2.021 2.02  2.018 2.017],[ 112.5   762.09 1114.93 1166.98 1374.96],[],[]
1773391953505,2497657025,2497657037,[2.022 2.021 2.02 ],[112.5  762.09 876.57],[2.023 2.032 2.043],[ 828.42  799.9  2569.18]
1773391953605,2497657038,2497657039,[2.021 2.017],[ 615.29 1350.23],[],[]
1773391953705,2497657040,2497657041,[],[],[2.026 2.027],[1288.55 1834.16]
1773391953805,2497657042,2497657044,[],[],[2.025 2.027 2.03 ],[1332.41 2121.76  795.58]
1773391954305,2497657045,2497657046,[],[],[2.032 2.043],[11997.46 15085.56]
1773391954405,2497657047,2497657048,[],[],[2.023 2.027],[ 833.12 2146.16]
1773391954605,2497657049,2497657049,[2.02],[1076.57],[],[]
1773391955405,2497657050,2497657050,[],[],[2.025],[1356.25]
1773391955605,2497657051,2497657051,[],[],[2.027],[1858.56]
1773391955805,2497657052,2497657052,[],[],[2.024],[1566.24]
1773391955905,2497657053,2497657053,[],[],[2.024],[1541.82]
1773391956105,2497657054,2497657054,[2.02],[876.57],[],[]
1773391956305,2497657055,2497657055,[],[],[2.025],[1380.54]
1773391956505,2497657056,2497657057,[],[],[2.023 2.025],[ 853.07 1356.7 ]
1773391957305,2497657058,2497657058,[],[],[2.03],[975.6]
1773391957905,2497657059,2497657059,[],[],[2.023],[833.12]
1773391958305,2497657060,2497657061,[],[],[2.025 2.03 ],[1332.41  795.58]
1773391959105,2497657062,2497657062,[],[],[2.027],[2230.36]
1773391959305,2497657063,2497657063,[],[],[2.048],[31159.95]
1773391959405,2497657064,2497657073,[2.022 2.021 2.02 ],[  0.   519.56 968.59],[2.023 2.031 2.032 2.042 2.043],[ 1205.81 19715.33   799.9  22769.47  2569.18]
1773391959505,2497657074,2497657077,[2.017 2.016 2.011],[1962.17 2528.42 1332.27],[2.027],[2205.96]
1773391959605,2497657078,2497657094,[2.021 2.02  2.019 2.013 2.012 2.003 2.002 1.984 1.983],"[  308.86  1129.49  1558.97  8484.74 12108.18   719.46 12904.77    58.
 23985.74]",[2.022 2.023 2.024 2.027],[ 112.5  1297.83 1244.   2598.16]
1773391959705,2497657095,2497657095,[],[],[2.026],[1470.73]
1773391959906,2497657096,2497657096,[],[],[2.023],[1293.13]
1773391960105,2497657097,2497657111,[2.012 2.002 1.983],[765.23 317.2  115.5 ],[2.022 2.023 2.024 2.047],[ 112.5  1293.13 1449.4   199.61]
1773391960205,2497657112,2497657113,[],[],[2.026 2.027],[1288.55 1834.16]
1773391960405,2497657114,2497657137,[2.022 2.021 2.02 ],[ 24.72 632.74 901.3 ],[2.022 2.023 2.024 2.025 2.027 2.03  2.031 2.042],[    0.     828.42  1543.42  1356.85  2462.06   975.96  8438.12 10322.35]
1773391960505,2497657138,2497657142,[2.021 2.02 ],[531.2  876.57],[2.023 2.032 2.043],[  853.25 12053.47 15089.02]
1773391960605,2497657143,2497657155,[2.022 2.021 2.02  2.013 2.003 1.984],[    0.     435.47  1147.6  19785.14 13357.05 23982.83],[2.023 2.032 2.036 2.043],[ 1226.42   799.9  14726.44  2569.18]
1773391960705,2497657156,2497657157,[],[],[2.023 2.025],[1201.59 1381.21]
1773391960805,2497657158,2497657158,[],[],[2.025],[1356.85]
1773391961005,2497657159,2497657175,[2.021 2.013 2.003 1.984],[ 542.41 8484.74  719.46   58.  ],[2.022 2.023 2.024 2.025 2.03  2.036 2.048],[   0.   1206.29 1543.42 1332.41  795.58  312.11  398.87]
1773391961105,2497657176,2497657183,[2.021],[308.86],[2.022 2.023 2.024],[ 112.5  1521.81 1244.  ]
1773391961605,2497657184,2497657188,[2.012 2.002 1.983],[12130.79 12917.63 24161.76],[2.031 2.042],[19686.05 22779.43]
1773391962005,2497657189,2497657205,[2.012 2.002 1.983],[765.23 317.2  115.5 ],[2.022 2.023 2.024 2.025 2.03 ],[ 112.5  1521.81 1453.   1357.6   977.02]
1773391962105,2497657206,2497657213,[2.021],[308.86],[2.022 2.023 2.024],[ 112.5  1521.81 1453.  ]
1773391962205,2497657214,2497657224,[2.021],[542.41],[2.022 2.023 2.024 2.025 2.03 ],[   0.   1429.79 1545.12 1332.41  795.58]
1773391962705,2497657225,2497657229,[2.013 2.003 1.984],[19786.59 13359.47 23970.54],[2.023 2.024],[1545.28 1428.57]
1773391963105,2497657230,2497657237,[2.021 2.013 2.003 1.984],[ 308.86 8484.74  719.46   58.  ],[2.022 2.023 2.024],[ 112.5  1637.3  1336.55]
1773391963805,2497657238,2497657240,[2.012 2.002 1.983],[12078.25 12949.6  24153.14],[],[]
1773391964205,2497657241,2497657241,[],[],[2.025],[1357.38]
1773391964305,2497657242,2497657251,[2.012 2.002 1.983],[765.23 317.2  115.5 ],[2.022 2.023 2.024],[   0.   1545.28 1429.87]
1773391964406,2497657252,2497657262,[2.021],[435.47],[2.022 2.023 2.024],[   0.   1545.28 1429.87]
1773391964605,2497657263,2497657263,[],[],[2.029],[36534.89]
1773391964905,2497657264,2497657266,[2.013 2.003 1.984],[19806.15 13350.08 24112.04],[],[]
1773391965605,2497657267,2497657267,[],[],[2.029],[36356.75]
1773391965905,2497657268,2497657268,[],[],[2.025],[1332.41]
1773391966105,2497657269,2497657279,[2.022 2.021 2.02 ],[ 112.5   531.2  1055.58],[2.023 2.027 2.031 2.032 2.042 2.043],[ 1298.72  2177.46  8438.12 12055.11 10322.35 15058.4 ]
1773391966205,2497657280,2497657283,[],[],[2.023 2.024 2.025 2.027],[1323.55 1454.29 1356.25 2201.86]
1773391966505,2497657284,2497657285,[2.019],[1758.97],[2.023],[1318.85]
1773391967605,2497657286,2497657286,[],[],[2.023],[1323.55]
1773391968105,2497657287,2497657287,[2.022],[0.],[],[]
1773391968205,2497657288,2497657300,[2.021 2.02 ],[ 435.47 1147.6 ],[2.023 2.024 2.025 2.027 2.031 2.032 2.042 2.043],[ 1502.48  1429.87  1356.98  2177.46 19733.92   799.9  22811.09  2569.18]
1773391969205,2497657301,2497657301,[],[],[2.025],[1332.41]
1773391969405,2497657302,2497657302,[2.019],[1558.97],[],[]
1773391970105,2497657303,2497657304,[],[],[2.047],[199.61]
1773391970405,2497657305,2497657305,[],[],[2.023],[1521.86]
1773391970705,2497657306,2497657306,[],[],[2.036],[14726.31]
1773391973105,2497657307,2497657307,[],[],[2.023],[1517.16]
1773391973205,2497657308,2497657308,[],[],[2.024],[1454.47]
1773391973405,2497657309,2497657319,[2.021 2.013 2.012 2.003 2.002 1.984 1.983],[  308.86  8484.74 12159.7    719.46 12913.18    58.   24027.87],[2.022 2.023 2.024 2.048],[  112.5   1609.18  1362.45 30707.41]
1773391974005,2497657320,2497657322,[],[],[2.024 2.029],[ 1152.05 36539.37]
1773391974205,2497657323,2497657323,[],[],[2.022],[117.2]
1773391974305,2497657324,2497657327,[2.021 2.02  2.017],[ 333.59 1172.33 1986.9 ],[2.022],[4.7]
1773391974405,2497657328,2497657328,[2.021],[358.32],[],[]
1773391974705,2497657329,2497657329,[2.021],[442.41],[],[]
1773391974805,2497657330,2497657330,[2.017],[2011.63],[],[]
1773391974905,2497657331,2497657333,[2.021],[467.14],[2.023 2.048],[1589.8   398.87]
1773391975105,2497657334,2497657334,[],[],[2.024],[1127.45]
1773391975305,2497657335,2497657339,[2.02  2.017],[1197.06 2061.09],[2.029 2.036],[36356.75   312.11]
1773391975405,2497657340,2497657341,[2.021 2.019],[ 491.87 1758.97],[],[]
1773391975705,2497657342,2497657342,[2.017],[2085.82],[],[]
1773391975905,2497657343,2497657343,[],[],[2.023],[1609.91]
1773391976306,2497657344,2497657345,[2.02  2.017],[1172.33 2061.09],[],[]
1773391976405,2497657346,2497657346,[2.02],[1372.33],[],[]
1773391977605,2497657347,2497657347,[],[],[2.025],[1357.31]
1773391978905,2497657348,2497657348,[],[],[2.023],[1589.8]
1773391979105,2497657349,2497657349,[],[],[2.025],[1332.41]
1773391979305,2497657350,2497657350,[2.017],[2085.82],[],[]
1773391979405,2497657351,2497657351,[2.02],[1397.06],[],[]
1773391979705,2497657352,2497657379,[2.022 2.021 2.02  2.013 2.012 2.003 2.002 1.984 1.983],"[  137.22   710.49   901.3  19884.5    765.23 13290.8    317.2  23997.87
   115.5 ]",[2.022 2.023 2.024 2.031 2.032 2.042 2.043],[    0.    1294.02  1431.87  8438.12 12099.7  10322.35 15031.46]
1773391979805,2497657380,2497657391,[2.022 2.021 2.02  2.017],[ 112.5   615.29  876.57 1962.17],[],[]
1773391980105,2497657392,2497657393,[],[],[2.047],[199.61]
1773391980805,2497657394,2497657394,[],[],[2.023],[1298.72]
1773391981405,2497657395,2497657395,[],[],[2.023],[1318.15]
1773391982206,2497657396,2497657396,[],[],[2.025],[1357.01]
1773391982905,2497657397,2497657397,[],[],[2.023],[1298.72]
1773391983205,2497657398,2497657398,[],[],[2.025],[1332.41]
1773391984907,2497657399,2497657406,[2.021 2.02 ],[ 838.79 1206.81],[2.023 2.024 2.025],[1075.22 1339.85 1424.43]
1773391985005,2497657407,2497657408,[2.021],[947.22],[2.025],[1332.41]
1773391985105,2497657409,2497657410,[],[],[2.024 2.027],[1431.87 1834.16]
1773391985205,2497657411,2497657411,[2.02],[1044.75],[],[]
1773391985805,2497657412,2497657425,[2.022 2.021 2.02  2.019],[ 112.5   616.45  968.59 1558.97],[2.023 2.031 2.032 2.042 2.043],[ 1272.29 19667.15   799.9  22846.74  2569.18]
1773391985905,2497657426,2497657434,[2.021 2.02 ],[838.79 876.57],[2.023 2.031 2.042],[  968.77  8438.12 10322.35]
1773391986305,2497657435,2497657435,[],[],[2.023],[964.07]
1773391986905,2497657436,2497657439,[],[],[2.023 2.025 2.032 2.043],[  943.91  1357.2  12000.22 15040.92]
1773391987405,2497657440,2497657441,[],[],[2.023 2.025],[ 948.61 1332.41]
1773391987505,2497657442,2497657442,[],[],[2.027],[1858.56]
1773391988605,2497657443,2497657443,[],[],[2.03],[978.87]
1773391990105,2497657444,2497657446,[],[],[2.03  2.047],[795.58 199.61]
1773391990205,2497657447,2497657447,[2.019],[1758.97],[],[]
1773391990905,2497657448,2497657448,[],[],[2.023],[968.79]
1773391991605,2497657449,2497657449,[],[],[2.048],[30143.23]
1773391991805,2497657450,2497657450,[1.931],[45.74],[],[]
1773391992106,2497657451,2497657452,[2.017],[1937.87],[2.025],[1356.9]
1773391992605,2497657453,2497657454,[2.019],[1784.19],[2.026],[1313.36]
1773391992905,2497657455,2497657455,[],[],[2.023],[964.09]
1773391993605,2497657456,2497657456,[],[],[2.03],[976.8]
1773391994005,2497657457,2497657457,[],[],[2.023],[968.79]
1773391994405,2497657458,2497657462,[],[],[2.023 2.025 2.026 2.03  2.048],[ 948.61 1332.41 1288.55  795.58  398.87]
1773391996706,2497657463,2497657463,[],[],[2.027],[1834.16]
1773391999705,2497657464,2497657467,[2.02],[1068.39],[2.023 2.024],[ 828.42 1547.72]
1773392000105,2497657468,2497657472,[2.02],[1268.39],[2.047],[199.61]
1773392000205,2497657473,2497657473,[2.021],[965.6],[],[]
1773392000311,2497657474,2497657479,[2.022 2.021 2.02  2.019],[   0.    712.18  876.57 1584.19],[],[]
1773392000405,2497657480,2497657489,[2.021 2.02 ],[743.06 968.59],[2.023 2.031 2.032 2.042 2.043],[ 1202.87 19680.21   799.9  22761.65  2569.18]
1773392000505,2497657490,2497657498,[2.022 2.021 2.02 ],[112.5  838.79 876.57],[2.023 2.031 2.042],[  654.59  8438.12 10322.35]
1773392001005,2497657499,2497657499,[],[],[2.023],[659.29]
1773392001105,2497657500,2497657501,[2.02  2.019],[1058.3  1784.19],[],[]
1773392001405,2497657502,2497657503,[],[],[2.032 2.043],[11998.57 15066.59]
1773392002105,2497657504,2497657504,[2.02],[1258.3],[],[]
1773392002205,2497657505,2497657505,[2.021],[962.59],[],[]
1773392002605,2497657506,2497657506,[],[],[2.025],[1357.29]
1773392003005,2497657507,2497657511,[2.022 2.011],[ 265.7  8500.29],[2.023 2.024],[ 517.77 1354.81]
1773392003505,2497657512,2497657512,[],[],[2.023],[497.59]
1773392003606,2497657513,2497657513,[],[],[2.025],[1332.41]
1773392005806,2497657514,2497657514,[2.02],[1076.57],[],[]
1773392006506,2497657515,2497657515,[],[],[2.023],[492.89]
1773392006905,2497657516,2497657521,[2.022 2.016 2.011 2.006],[  112.5    782.65  3078.04 33998.78],[2.023],[647.08]
1773392007005,2497657522,2497657523,[2.017],[1325.93],[2.023],[492.89]
1773392007405,2497657524,2497657524,[],[],[2.025],[1357.28]
1773392007605,2497657525,2497657525,[],[],[2.023],[497.59]
1773392007905,2497657526,2497657527,[2.019],[1764.6],[2.025],[1332.41]
1773392008405,2497657528,2497657528,[2.021],[982.13],[],[]
1773392010105,2497657529,2497657530,[],[],[2.047],[199.61]
1773392013105,2497657531,2497657531,[],[],[2.023],[492.89]
1773392013505,2497657532,2497657559,[2.022 2.021 2.02  2.019 2.013 2.012 2.003 2.002 1.984 1.983],"[    0.     616.45   968.59  1564.6   8484.74 12125.83   719.46 12987.83
    58.   24034.3 ]",[2.022 2.023 2.024 2.031 2.032 2.042 2.043],[  112.5   1306.51  1050.39 19683.71   799.9  22867.05  2569.18]
1773392013605,2497657560,2497657560,[],[],[2.023],[1116.25]
1773392014105,2497657561,2497657562,[],[],[2.023 2.024],[1232.09  934.54]
1773392014205,2497657563,2497657563,[],[],[2.022],[117.2]
1773392015205,2497657564,2497657566,[2.02],[1233.],[2.022 2.023],[   4.7  1001.19]
1773392015305,2497657567,2497657575,[2.021 2.02  2.017],[ 690.64 1282.46 1424.85],[],[]
1773392016005,2497657576,2497657576,[2.019],[1764.6],[],[]
1773392016605,2497657577,2497657578,[2.02  2.017],[1257.73 1400.12],[],[]
1773392016705,2497657579,2497657579,[],[],[2.025],[1356.82]
1773392017205,2497657580,2497657580,[],[],[2.025],[1332.41]
1773392019305,2497657581,2497657587,[2.021 2.02  2.017],[ 616.45 1233.   1325.93],[],[]
1773392019405,2497657588,2497657593,[2.021 2.02  2.017],[ 690.64 1257.73 1375.39],[],[]
1773392019605,2497657594,2497657594,[2.017],[1400.12],[],[]
1773392019705,2497657595,2497657595,[2.017],[1424.85],[],[]
1773392019805,2497657596,2497657617,[2.022 2.021 2.02  2.013 2.012 2.003 2.002 1.984 1.983],"[  112.5   1049.09   901.3  19885.91   765.23 13343.93   317.2  24055.18
   115.5 ]",[2.022 2.023 2.024 2.031 2.032 2.042 2.043],[    0.     782.56  1231.96  8438.12 12043.15 10322.35 15053.49]
1773392019905,2497657618,2497657628,[2.022 2.021 2.02  2.017],[ 137.22  838.79  876.57 1325.93],[],[]
1773392020005,2497657629,2497657629,[2.022],[112.5],[],[]
1773392020105,2497657630,2497657633,[],[],[2.047],[199.61]
1773392020905,2497657634,2497657635,[],[],[2.023 2.031],[  787.26 12596.58]
1773392021005,2497657636,2497657636,[],[],[2.025],[1356.75]
1773392021105,2497657637,2497657647,[2.022 2.021 2.02 ],[  0.   743.06 968.59],[2.023 2.031 2.032 2.042 2.043],[ 1087.24 23891.2    799.9  22858.08  2569.18]
1773392022105,2497657648,2497657649,[],[],[2.023 2.025],[1067.46 1332.41]
1773392022205,2497657650,2497657650,[2.019],[1564.6],[],[]
1773392022805,2497657651,2497657652,[2.019],[1764.6],[2.023],[1115.58]
1773392023605,2497657653,2497657653,[2.021],[519.56],[],[]
1773392024105,2497657654,2497657667,[2.021 2.02  2.019 2.013 2.012 2.003 2.002 1.984 1.983],"[  392.95  1146.5   1564.6   8484.74 12149.18   719.46 12929.59    58.
 24059.04]",[2.022 2.023 2.024],[ 112.5  1207.6   934.54]
1773392024205,2497657668,2497657669,[],[],[2.023 2.027],[1054.01 2327.06]
1773392024905,2497657670,2497657670,[],[],[2.03],[971.66]
1773392025105,2497657671,2497657672,[],[],[2.027],[2083.86]
1773392025305,2497657673,2497657688,[2.021 2.013 2.012 2.003 2.002 1.984 1.983],[  626.17 19885.44   765.23 13341.23   317.2  23960.61   115.5 ],[2.022 2.023 2.024 2.027 2.03 ],[   0.    961.99 1243.96 2185.56  795.58]
1773392025406,2497657689,2497657689,[],[],[2.023],[1102.97]
1773392025505,2497657690,2497657697,[2.021 2.013 2.003 1.984],[ 392.95 8484.74  719.46   58.  ],[2.022 2.023 2.024],[ 112.5  1194.99 1151.94]
1773392026305,2497657698,2497657700,[2.012 2.002 1.983],[12146.28 12951.56 24151.87],[],[]
1773392026405,2497657701,2497657701,[],[],[2.023],[1190.29]
1773392026506,2497657702,2497657703,[],[],[2.024],[934.54]
1773392026605,2497657704,2497657704,[],[],[2.023],[1049.31]
1773392027605,2497657705,2497657705,[],[],[2.022],[117.2]
1773392030105,2497657706,2497657707,[],[],[2.047],[199.61]
1773392030805,2497657708,2497657708,[],[],[2.025],[1356.74]
1773392031105,2497657709,2497657709,[],[],[2.023],[1068.99]
1773392031205,2497657710,2497657710,[],[],[2.024],[917.62]
1773392032805,2497657711,2497657711,[],[],[2.025],[1332.41]
1773392033005,2497657712,2497657712,[],[],[2.022],[112.5]
1773392033105,2497657713,2497657713,[],[],[2.023],[1049.31]
1773392034205,2497657714,2497657714,[],[],[2.022],[117.2]
1773392035805,2497657715,2497657715,[],[],[2.029],[36373.62]
1773392036205,2497657716,2497657717,[2.02],[968.59],[2.027],[1834.16]
1773392036305,2497657718,2497657719,[],[],[2.025 2.027],[1357.2  2503.76]
1773392036405,2497657720,2497657720,[],[],[2.024],[1110.53]
1773392036505,2497657721,2497657723,[2.021],[308.86],[2.023],[1373.96]
1773392036605,2497657724,2497657724,[],[],[2.023],[1394.09]
1773392037105,2497657725,2497657726,[],[],[2.022 2.03 ],[259.6  972.48]
1773392037205,2497657727,2497657727,[],[],[2.023],[1373.96]
1773392037505,2497657728,2497657729,[],[],[2.023 2.027],[1371.24 1834.16]
1773392037605,2497657730,2497657732,[],[],[2.022 2.025 2.03 ],[ 262.32 1332.41  795.58]
1773392039605,2497657733,2497657733,[],[],[2.022],[257.62]
1773392040105,2497657734,2497657734,[],[],[2.046],[456.88]
1773392040205,2497657735,2497657736,[],[],[2.046],[456.47]
1773392040305,2497657737,2497657737,[],[],[2.046],[399.27]
1773392040505,2497657738,2497657742,[2.021 2.01  2.009],[ 306.14 2620.4  2029.18],[2.027 2.028],[1943.35 1090.04]
1773392040605,2497657743,2497657744,[2.02],[971.31],[2.025],[1357.26]
1773392040805,2497657745,2497657748,[2.021],[119.21],[2.022],[519.55]
1773392041005,2497657749,2497657749,[],[],[2.022],[407.05]
1773392041105,2497657750,2497657751,[2.019 2.017],[1173.6  1716.93],[],[]
1773392041205,2497657752,2497657762,[2.021 2.02  2.019],[ 307.01 1157.9  1328.46],[2.022 2.025 2.027],[ 147.1  1332.41 2305.35]
1773392041305,2497657763,2497657765,[2.021 2.019],[ 309.73 1173.6 ],[2.023],[1373.96]
1773392041705,2497657766,2497657766,[2.019],[1373.6],[],[]
1773392042105,2497657767,2497657767,[],[],[2.022],[4.7]
1773392042205,2497657768,2497657769,[2.021 2.02 ],[ 334.46 1182.63],[],[]
1773392042405,2497657770,2497657772,[2.021 2.017],[ 359.19 1766.39],[],[]
1773392042505,2497657773,2497657773,[2.017],[1791.12],[],[]
